"con ten t": 
 "01.05.2022, 20:05:37 +79123456789: 18750 
   
 01.05.2022, 20:07:12 +71234567890: принял 
  
 01.05.2022, 20:07:45 +79123456789: 20450  
   
 02.05.2022, 19:53:21 +71234567890: получил  
   
 02.05.2022, 19:54:15 +79123456789: 29000 
 03.05.2022, 21:12:46 +71234567890: чек 
 04.05.2022, 20:24:37 +79123456789: 24850 
 04.05.2022, 20:25:56 +71234567890: принял 
 05.05.2022, 21:08:32 +79123456789: 14600 
 06.05.2022, 20:30:18 +71234567890: получил 
 06.05.2022, 20:30:53 +79123456789: 17900 
 08.05.2022, 21:45:29 +71234567890: принял 
 08.05.2022, 21:46:07 +79123456789: 32000 
 09.05.2022, 20:15:52 +71234567890: получил 
 10.05.2022, 20:47:19 +79123456789: 28500 
 11.05.2022, 20:52:34 +71234567890: чек 
 12.05.2022, 20:03:41 +79123456789: 20550 
 12.05.2022, 20:04:53 +71234567890: принял 
 13.05.2022, 21:28:16 +79123456789: 23200 
 14.05.2022, 20:50:09 +71234567890: получил 
 14.05.2022, 20:50:43 +79123456789: 14900 
 16.05.2022, 20:12:24 +71234567890: принял 
 16.05.2022, 20:12:56 +79123456789: 32450 
 17.05.2022, 20:56:03 +71234567890: чек 
 18.05.2022, 20:27:15 +79123456789: 18750 
 18.05.2022, 20:28:47 +71234567890: получил 
 19.05.2022, 21:39:55 +79123456789: 23900 
 20.05.2022, 20:09:04 +71234567890: принял 
 20.05.2022, 20:09:39 +79123456789: 32000 
 22.05.2022, 21:17:03 +71234567890: получил 
 23.05.2022, 20:45:25 +79123456789: 14500 
 24.05.2022, 20:56:31 +71234567890: чек 
 25.05.2022, 20:17:48 +79123456789: 28850 
 26.05.2022, 20:34:27 +71234567890: принял 
 26.05.2022, 20:34:59 +79123456789: 21900 
 27.05.2022, 21:21:11 +71234567890: получил 
 28.05.2022, 20:55:18 +79123456789: 31000 
 29.05.2022, 20:38:27 +71234567890: принял 
 29.05.2022, 20:39:03 +79123456789: 19900"
